Unix,Date,Symbol,Open,High,Low,Close,Volume ALICE,Volume USDT,tradecount
1721260800000,2024-07-18,ALICEUSDT,1.364,1.597,1.302,1.341,25754812.42,37053562.32567,190040
1721174400000,2024-07-17,ALICEUSDT,1.105,1.386,1.105,1.362,11898352.92,14861375.39514,103531
1721088000000,2024-07-16,ALICEUSDT,1.086,1.113,1.032,1.105,3065333.71,3294833.2411,28169
1721001600000,2024-07-15,ALICEUSDT,1.026,1.13,1.005,1.086,10219405.34,10996375.11973,69613
1720915200000,2024-07-14,ALICEUSDT,0.948,1.092,0.937,1.027,7520475.33,7679653.37938,54068
1720828800000,2024-07-13,ALICEUSDT,0.952,0.96,0.929,0.948,765367.68,721816.56633,8332
1720742400000,2024-07-12,ALICEUSDT,0.937,0.954,0.912,0.952,979805.1,917109.9687,9873
1720656000000,2024-07-11,ALICEUSDT,0.959,0.99,0.928,0.937,1266581.83,1210959.09675,10287
1720569600000,2024-07-10,ALICEUSDT,0.94,0.977,0.93,0.959,1226662.29,1170565.83657,11072
1720483200000,2024-07-09,ALICEUSDT,0.913,0.953,0.904,0.94,1276727.93,1184505.66103,12279
1720396800000,2024-07-08,ALICEUSDT,0.927,0.989,0.887,0.913,3762848.23,3518989.80989,28093
1720310400000,2024-07-07,ALICEUSDT,0.993,0.996,0.92,0.926,1846677.6,1781966.50952,10797
1720224000000,2024-07-06,ALICEUSDT,0.882,1.003,0.88,0.994,1957667.95,1848260.21555,16499
1720137600000,2024-07-05,ALICEUSDT,0.902,0.904,0.777,0.882,5581073.81,4704610.91493,43023
1720051200000,2024-07-04,ALICEUSDT,1.059,1.066,0.894,0.902,3462632.35,3372060.11845,30459
1719964800000,2024-07-03,ALICEUSDT,1.108,1.114,1.055,1.059,1320801.77,1424988.16482,14205
1719878400000,2024-07-02,ALICEUSDT,1.102,1.133,1.081,1.108,1263552.94,1396271.72549,15015
1719792000000,2024-07-01,ALICEUSDT,1.111,1.141,1.096,1.102,1527895.3,1708359.72842,16470
1719705600000,2024-06-30,ALICEUSDT,1.066,1.117,1.048,1.112,1001461.9,1083414.2147,11813
1719619200000,2024-06-29,ALICEUSDT,1.09,1.103,1.049,1.065,1247510.58,1344268.5273,14308
1719532800000,2024-06-28,ALICEUSDT,1.147,1.158,1.088,1.09,1759722.51,1985378.20778,14621
1719446400000,2024-06-27,ALICEUSDT,1.116,1.166,1.099,1.148,1426200.64,1610402.35147,14298
1719360000000,2024-06-26,ALICEUSDT,1.153,1.177,1.106,1.115,1549650.17,1763995.21529,15830
1719273600000,2024-06-25,ALICEUSDT,1.131,1.196,1.116,1.153,2122916.55,2439432.75057,18193
1719187200000,2024-06-24,ALICEUSDT,1.102,1.14,1.03,1.131,3564654.16,3929286.78078,33177
1719100800000,2024-06-23,ALICEUSDT,1.152,1.171,1.082,1.102,1510485.19,1705686.05361,14849
1719014400000,2024-06-22,ALICEUSDT,1.19,1.19,1.147,1.152,1643785.9,1918877.3498,13706
1718928000000,2024-06-21,ALICEUSDT,1.17,1.262,1.157,1.189,5535067.23,6695245.65718,47184
1718841600000,2024-06-20,ALICEUSDT,1.155,1.213,1.144,1.171,2829979.9,3334713.21156,31259
1718755200000,2024-06-19,ALICEUSDT,1.118,1.177,1.103,1.155,3834047.82,4398990.10968,31304
1718668800000,2024-06-18,ALICEUSDT,1.244,1.251,1.026,1.117,5470386.54,6127301.07677,56497
1718582400000,2024-06-17,ALICEUSDT,1.394,1.411,1.2,1.244,4751685.01,6196360.68996,45293
1718496000000,2024-06-16,ALICEUSDT,1.398,1.43,1.372,1.395,2237694.84,3138817.76627,20312
1718409600000,2024-06-15,ALICEUSDT,1.402,1.473,1.377,1.397,2824556.21,4039973.43258,25412
1718323200000,2024-06-14,ALICEUSDT,1.481,1.543,1.357,1.401,5066061.45,7436127.15115,52180
1718236800000,2024-06-13,ALICEUSDT,1.528,1.547,1.43,1.481,3167624.36,4725491.62769,36355
1718150400000,2024-06-12,ALICEUSDT,1.527,1.597,1.487,1.528,3534255.73,5432398.92991,39878
1718064000000,2024-06-11,ALICEUSDT,1.589,1.608,1.483,1.526,4546621.61,7054911.03881,48188
1717977600000,2024-06-10,ALICEUSDT,1.697,1.697,1.578,1.59,3759937.58,6185409.19448,41213
1717891200000,2024-06-09,ALICEUSDT,1.728,1.743,1.687,1.7,3036930.75,5190857.66987,37426
1717804800000,2024-06-08,ALICEUSDT,1.819,1.836,1.709,1.728,4400207.3,7821322.45979,48291
1717718400000,2024-06-07,ALICEUSDT,2.076,2.111,1.611,1.818,9918143.33,19114219.09444,127757
1717632000000,2024-06-06,ALICEUSDT,2.182,2.265,2.036,2.075,6795981.89,14385937.20833,93036
1717545600000,2024-06-05,ALICEUSDT,2.176,2.325,2.103,2.183,11717049.17,25662047.49581,156578
1717459200000,2024-06-04,ALICEUSDT,2.355,2.385,2.097,2.175,23672519.65,53285452.91923,263203
1717372800000,2024-06-03,ALICEUSDT,1.656,2.789,1.656,2.355,80020060.67,195039193.2259,1069537
1717286400000,2024-06-02,ALICEUSDT,1.562,1.682,1.547,1.657,6688403.74,10741159.44845,75591
1717200000000,2024-06-01,ALICEUSDT,1.612,1.749,1.515,1.562,14796810.87,23711406.96344,144753
1717113600000,2024-05-31,ALICEUSDT,1.287,1.76,1.263,1.612,28700432.93,44389697.96356,275558
1717027200000,2024-05-30,ALICEUSDT,1.283,1.32,1.233,1.289,1275196.57,1636127.89427,14139
1716940800000,2024-05-29,ALICEUSDT,1.283,1.322,1.27,1.284,1539861.52,2002543.20478,14621
1716854400000,2024-05-28,ALICEUSDT,1.304,1.31,1.256,1.283,1658498.4,2126961.8588,15008
1716768000000,2024-05-27,ALICEUSDT,1.289,1.337,1.277,1.306,1181465.14,1543265.31862,9508
1716681600000,2024-05-26,ALICEUSDT,1.321,1.326,1.277,1.29,1101374.56,1428582.97057,6466
1716595200000,2024-05-25,ALICEUSDT,1.282,1.35,1.279,1.321,1767927.16,2321572.71923,11996
1716508800000,2024-05-24,ALICEUSDT,1.242,1.283,1.201,1.282,854798.63,1061789.51292,10324
1716422400000,2024-05-23,ALICEUSDT,1.278,1.303,1.157,1.243,2128671.83,2630044.22255,28026
