Unix,Date,Symbol,Open,High,Low,Close,Volume EGLD,Volume USDT,tradecount
1721692800000,2024-07-23,EGLDUSDT,35.83,36.53,33.84,34.2,118458.0,4146806.7386,23383
1721606400000,2024-07-22,EGLDUSDT,36.87,38.4,35.6,35.83,184930.88,6875968.7921,37464
1721433600000,2024-07-20,EGLDUSDT,36.6,36.77,35.54,36.26,80453.51,2912231.6581,24153
1721347200000,2024-07-19,EGLDUSDT,36.28,36.67,34.83,36.6,157647.61,5632116.6861,47430
1721260800000,2024-07-18,EGLDUSDT,36.87,38.47,36.14,36.27,175173.7,6550027.4132,53331
1721174400000,2024-07-17,EGLDUSDT,36.49,37.9,36.25,36.87,147529.82,5458239.1135,40024
1721088000000,2024-07-16,EGLDUSDT,37.0,37.5,34.26,36.48,263979.48,9475556.959,57625
1721001600000,2024-07-15,EGLDUSDT,35.57,37.14,35.23,36.98,154469.26,5547683.4605,37969
1720915200000,2024-07-14,EGLDUSDT,35.5,36.19,35.18,35.58,94491.28,3363862.0258,24025
1720828800000,2024-07-13,EGLDUSDT,35.61,36.67,34.99,35.51,107045.91,3811706.243,28091
1720742400000,2024-07-12,EGLDUSDT,35.97,36.41,35.05,35.67,125058.44,4461261.4184,31643
1720656000000,2024-07-11,EGLDUSDT,36.86,37.14,35.5,35.97,169412.65,6132570.3248,39537
1720569600000,2024-07-10,EGLDUSDT,36.86,37.55,36.26,36.86,202053.97,7455907.6678,46150
1720483200000,2024-07-09,EGLDUSDT,35.3,37.71,35.04,36.85,363078.74,13291378.582,74614
1720396800000,2024-07-08,EGLDUSDT,32.86,35.38,31.64,35.32,393720.3,13279118.2941,71792
1720310400000,2024-07-07,EGLDUSDT,34.54,34.91,32.39,32.84,216980.75,7282781.9113,40797
1720224000000,2024-07-06,EGLDUSDT,33.18,35.12,32.68,34.55,283487.84,9602687.2023,59012
1720137600000,2024-07-05,EGLDUSDT,31.17,34.15,27.24,33.18,780180.41,23910035.7159,132849
1720051200000,2024-07-04,EGLDUSDT,31.04,32.31,28.8,31.16,322463.23,9794544.1068,62992
1719964800000,2024-07-03,EGLDUSDT,32.07,32.26,30.48,31.03,206008.96,6463295.7222,42155
1719878400000,2024-07-02,EGLDUSDT,30.79,32.72,30.67,32.06,280068.96,8961733.8208,59837
1719792000000,2024-07-01,EGLDUSDT,29.68,31.99,29.6,30.79,336255.62,10421626.1962,77583
1719705600000,2024-06-30,EGLDUSDT,28.45,29.95,27.84,29.69,126694.91,3637134.3755,29704
1719619200000,2024-06-29,EGLDUSDT,29.08,29.6,28.4,28.45,71315.25,2074243.9942,17904
1719532800000,2024-06-28,EGLDUSDT,30.02,30.23,29.05,29.09,110997.91,3297956.0557,20552
1719446400000,2024-06-27,EGLDUSDT,29.48,30.28,28.97,30.02,125560.21,3721869.7066,27983
1719360000000,2024-06-26,EGLDUSDT,29.76,30.3,29.01,29.48,114021.62,3377514.5096,25169
1719273600000,2024-06-25,EGLDUSDT,29.13,30.76,28.91,29.75,190962.58,5728934.5585,44476
1719187200000,2024-06-24,EGLDUSDT,28.27,29.23,26.53,29.13,304137.85,8513351.1573,54406
1719100800000,2024-06-23,EGLDUSDT,28.65,29.31,27.81,28.26,106064.32,3030941.2052,28530
1719014400000,2024-06-22,EGLDUSDT,28.72,28.92,28.1,28.65,106799.19,3044691.5487,30021
1718928000000,2024-06-21,EGLDUSDT,29.1,29.66,28.17,28.72,278538.61,8043525.2061,49194
1718841600000,2024-06-20,EGLDUSDT,29.49,30.79,28.79,29.09,194489.94,5777556.2105,31030
1718755200000,2024-06-19,EGLDUSDT,29.24,30.55,28.92,29.48,191304.98,5697304.3749,30093
1718668800000,2024-06-18,EGLDUSDT,31.1,31.27,26.62,29.24,447834.51,12848115.9014,71726
1718582400000,2024-06-17,EGLDUSDT,33.38,33.67,30.08,31.09,243141.83,7691356.5322,44894
1718496000000,2024-06-16,EGLDUSDT,33.24,33.57,32.7,33.4,65149.0,2161892.5247,17919
1718409600000,2024-06-15,EGLDUSDT,32.57,33.39,32.48,33.24,93065.16,3069077.5766,19791
1718323200000,2024-06-14,EGLDUSDT,33.15,34.28,31.76,32.57,205024.24,6752149.4754,41194
1718236800000,2024-06-13,EGLDUSDT,34.83,34.93,32.73,33.15,162916.82,5488618.2282,30020
1718150400000,2024-06-12,EGLDUSDT,33.36,35.85,32.74,34.82,202087.61,7013051.4699,36030
1718064000000,2024-06-11,EGLDUSDT,34.93,35.17,32.45,33.39,198329.22,6672023.9746,36752
1717977600000,2024-06-10,EGLDUSDT,35.56,36.03,34.64,34.94,158429.56,5605254.9399,31408
1717891200000,2024-06-09,EGLDUSDT,34.56,36.21,34.18,35.55,126696.87,4433240.6036,23352
1717804800000,2024-06-08,EGLDUSDT,36.02,36.18,34.38,34.57,191414.46,6721439.8011,40441
1717718400000,2024-06-07,EGLDUSDT,38.98,40.07,33.5,36.03,320505.84,11885689.3816,77815
1717632000000,2024-06-06,EGLDUSDT,40.2,40.24,38.79,38.97,115685.88,4580273.18,27471
1717545600000,2024-06-05,EGLDUSDT,39.23,40.43,39.11,40.19,145740.25,5796029.2281,32371
1717459200000,2024-06-04,EGLDUSDT,38.64,39.73,38.5,39.23,121196.09,4733128.0404,24966
1717372800000,2024-06-03,EGLDUSDT,37.97,39.43,37.77,38.63,145740.35,5635993.9478,27121
1717286400000,2024-06-02,EGLDUSDT,38.64,39.19,37.63,37.97,141313.32,5425384.202,25358
1717200000000,2024-06-01,EGLDUSDT,38.85,38.99,38.45,38.65,85178.69,3292774.793,23130
1717113600000,2024-05-31,EGLDUSDT,38.98,39.61,38.11,38.86,191989.74,7458682.6841,50695
1717027200000,2024-05-30,EGLDUSDT,39.68,40.43,38.32,38.99,188493.26,7423628.6735,43039
1716940800000,2024-05-29,EGLDUSDT,39.89,41.37,39.55,39.68,192797.52,7807374.25,42851
1716854400000,2024-05-28,EGLDUSDT,39.92,40.18,38.7,39.87,171484.85,6757272.1938,34775
1716768000000,2024-05-27,EGLDUSDT,39.0,40.45,38.71,39.92,150347.1,5964842.3959,30587
1716681600000,2024-05-26,EGLDUSDT,39.48,40.58,38.58,39.01,154146.89,6042622.8605,27911
1716595200000,2024-05-25,EGLDUSDT,38.81,39.68,38.77,39.49,77722.93,3052616.689,15786
1716508800000,2024-05-24,EGLDUSDT,38.42,38.86,37.32,38.83,145053.66,5540629.9354,24836
