Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount
1720310400000,2024-07-07,ETHUSDT,3066.83,3073.08,2922.24,2931.0,1.798.927.612,538.755.029.459.879,878707
1720224000000,2024-07-06,ETHUSDT,2981.79,3081.78,2955.06,3066.83,2.144.879.713,646.245.038.475.145,1055462
1720137600000,2024-07-05,ETHUSDT,3059.7,3110.0,2810.0,2981.78,8.869.943.753,2.602.693.094.463.380,2967124
1720051200000,2024-07-04,ETHUSDT,3295.49,3313.45,3050.34,3059.7,4.504.025.692,14.253.600.582.793.900,1898898
1719964800000,2024-07-03,ETHUSDT,3421.35,3432.1,3251.0,3295.48,310.408.451,10.310.406.429.482.400,1378502
1719878400000,2024-07-02,ETHUSDT,3442.2,3464.12,3402.0,3421.35,1.379.327.014,473.853.655.522.322,623720
1719792000000,2024-07-01,ETHUSDT,3438.16,3524.94,3423.78,3442.2,2.242.732.122,780.112.100.208.223,854102
1719705600000,2024-06-30,ETHUSDT,3378.8,3460.0,3352.66,3438.16,1.412.216.185,480.491.273.121.482,557070
1719619200000,2024-06-29,ETHUSDT,3380.15,3408.32,3371.86,3378.8,883.297.651,299.468.173.245.718,365755
1719532800000,2024-06-28,ETHUSDT,3450.44,3487.7,3365.22,3380.15,2.216.343.435,760.116.781.029.508,934561
1719446400000,2024-06-27,ETHUSDT,3371.77,3477.0,3361.74,3450.44,2.010.416.609,687.897.292.145.414,530697
1719360000000,2024-06-26,ETHUSDT,3394.91,3426.75,3325.01,3371.44,2.069.493.418,699.375.819.276.128,518727
1719273600000,2024-06-25,ETHUSDT,3352.74,3430.88,3336.76,3394.91,2.400.362.236,8.127.300.268.442,654302
1719187200000,2024-06-24,ETHUSDT,3420.91,3435.76,3240.0,3352.73,5.433.704.229,18.070.469.579.652.100,1222789
1719100800000,2024-06-23,ETHUSDT,3495.76,3521.45,3406.38,3420.91,1.334.114.304,46.320.453.905.644,338679
1719014400000,2024-06-22,ETHUSDT,3518.5,3521.19,3475.09,3495.75,1.157.746.157,405.045.499.421.582,315684
1718928000000,2024-06-21,ETHUSDT,3513.08,3547.55,3446.82,3518.5,342.155.102,1.197.095.546.233.960,746361
1718841600000,2024-06-20,ETHUSDT,3560.51,3625.96,3486.0,3513.08,3.291.178.453,1.170.597.741.257.860,743896
1718755200000,2024-06-19,ETHUSDT,3483.42,3590.01,3465.65,3560.51,3.215.000.027,1.138.419.054.652.920,712501
1718668800000,2024-06-18,ETHUSDT,3511.47,3517.2,3355.0,3483.42,4.499.133.014,1.541.798.882.411.690,1062807
1718582400000,2024-06-17,ETHUSDT,3624.41,3638.37,3463.39,3511.46,3.378.056.402,1.196.162.530.919.050,774085
1718496000000,2024-06-16,ETHUSDT,3568.75,3653.79,3541.05,3624.41,149.839.982,537.492.821.643.428,417858
1718409600000,2024-06-15,ETHUSDT,3481.8,3594.39,3473.1,3568.74,2.466.495.894,87.357.613.727.908,500773
1718323200000,2024-06-14,ETHUSDT,3469.4,3532.61,3362.26,3481.8,3.223.164.214,1.116.570.671.848.940,746613
1718236800000,2024-06-13,ETHUSDT,3560.13,3561.65,3428.0,3469.4,3.002.308.299,104.821.449.475.108,696369
1718150400000,2024-06-12,ETHUSDT,3497.33,3659.01,3462.07,3560.12,387.043.774,138.455.859.385.822,850527
1718064000000,2024-06-11,ETHUSDT,3667.85,3673.0,3432.0,3497.33,4.395.685.978,1.552.225.947.171.150,1036229
1717977600000,2024-06-10,ETHUSDT,3706.4,3713.67,3642.74,3667.85,1.563.631.846,57.521.124.330.527,391165
1717891200000,2024-06-09,ETHUSDT,3681.58,3721.52,3666.36,3706.4,103.451.102,38.185.448.495.566,287960
1717804800000,2024-06-08,ETHUSDT,3678.31,3709.5,3660.08,3681.57,1.405.508.394,518.118.534.039.922,364485
1717718400000,2024-06-07,ETHUSDT,3813.47,3841.39,3600.0,3678.32,3.622.233.594,1.352.307.567.238.340,894006
1717632000000,2024-06-06,ETHUSDT,3866.0,3878.6,3760.0,3813.46,2.375.041.905,910.751.773.181.592,525050
1717545600000,2024-06-05,ETHUSDT,3810.23,3887.47,3777.33,3865.99,2.737.386.035,1.046.373.693.422.420,645836
1717459200000,2024-06-04,ETHUSDT,3767.07,3831.65,3730.0,3810.23,2.320.637.468,8.785.339.305.998.890,568514
1717372800000,2024-06-03,ETHUSDT,3780.92,3849.99,3758.43,3767.06,248.848.702,946.239.636.296.371,648868
1717286400000,2024-06-02,ETHUSDT,3815.82,3838.59,3752.62,3780.91,2.102.954.407,798.100.737.663.757,579563
1717200000000,2024-06-01,ETHUSDT,3762.29,3833.3,3752.67,3815.82,1.326.872.006,503.500.622.837.856,399377
1717113600000,2024-05-31,ETHUSDT,3747.9,3849.94,3723.75,3762.29,273.406.766,1.032.174.005.216.670,680329
1717027200000,2024-05-30,ETHUSDT,3767.44,3825.35,3702.58,3747.91,2.770.342.894,104.214.600.639.132,765716
1716940800000,2024-05-29,ETHUSDT,3844.69,3888.55,3742.59,3767.43,3.347.596.348,1.274.087.642.072.240,883401
1716854400000,2024-05-28,ETHUSDT,3894.21,3931.09,3773.9,3844.69,4.162.498.344,1.605.074.794.248.350,941338
1716768000000,2024-05-27,ETHUSDT,3826.47,3977.0,3823.37,3894.22,3.637.176.473,1.424.169.372.465.940,971964
1716681600000,2024-05-26,ETHUSDT,3749.25,3884.2,3731.17,3826.47,2.922.082.937,1.115.661.431.007.390,697286
1716595200000,2024-05-25,ETHUSDT,3728.28,3779.43,3709.03,3749.26,1.587.118.992,5.944.382.758.051.360,503711
1716508800000,2024-05-24,ETHUSDT,3783.6,3829.61,3626.1,3728.28,4.794.184.318,17.829.838.622.129.600,1159074
1716422400000,2024-05-23,ETHUSDT,3737.72,3949.29,3498.0,3783.61,1.127.866.076,42.835.496.904.411.800,2682768
1716336000000,2024-05-22,ETHUSDT,3789.59,3813.69,3653.15,3737.73,5.749.383.099,215.125.643.212.026,1339940
1716249600000,2024-05-21,ETHUSDT,3661.79,3841.54,3624.28,3789.6,9.524.372.694,35.572.444.603.632.500,2204702
1716163200000,2024-05-20,ETHUSDT,3071.2,3694.0,3047.67,3661.78,8.471.078.828,2.853.349.713.672.700,2226153
1716076800000,2024-05-19,ETHUSDT,3122.94,3136.64,3053.38,3071.19,1.661.450.102,51.379.006.869.183,470419
1715990400000,2024-05-18,ETHUSDT,3092.0,3146.98,3083.61,3122.94,1.999.765.456,622.730.956.337.748,527531
1715904000000,2024-05-17,ETHUSDT,2944.7,3120.0,2933.06,3092.01,3.577.247.731,1.088.374.622.991.190,754274
1715817600000,2024-05-16,ETHUSDT,3032.55,3041.24,2922.8,2944.7,2.938.741.513,876.706.595.658.027,575271
1715731200000,2024-05-15,ETHUSDT,2881.93,3041.36,2863.75,3032.55,3.502.543.188,103.606.300.859.966,760817
