Unix,Date,Symbol,Open,High,Low,Close,Volume INJ,Volume USDT,tradecount
1721692800000,2024-07-23,INJUSDT,25.8,26.15,23.58,24.07,1356308.37,33523557.5279,111923
1721606400000,2024-07-22,INJUSDT,27.46,27.55,25.68,25.79,856614.42,22698243.4061,85921
1721433600000,2024-07-20,INJUSDT,26.4,28.11,26.21,27.61,947057.8,25806148.8306,108376
1721347200000,2024-07-19,INJUSDT,26.91,27.42,25.61,26.4,1199731.81,31701630.107,152419
1721260800000,2024-07-18,INJUSDT,25.65,27.1,25.03,26.92,991994.09,25719407.7256,130929
1721174400000,2024-07-17,INJUSDT,24.91,26.77,24.85,25.64,1924703.36,49702927.5112,166902
1721088000000,2024-07-16,INJUSDT,22.99,24.94,22.6,24.9,1708788.71,40385262.0064,136030
1721001600000,2024-07-15,INJUSDT,21.62,23.14,21.52,22.99,917769.04,20381693.267,72925
1720915200000,2024-07-14,INJUSDT,20.26,21.72,20.22,21.64,522558.57,10875248.803,40766
1720828800000,2024-07-13,INJUSDT,19.78,20.75,19.68,20.26,513738.1,10368042.2932,46917
1720742400000,2024-07-12,INJUSDT,19.6,20.09,19.08,19.77,581193.32,11402780.9239,59496
1720656000000,2024-07-11,INJUSDT,20.56,21.26,19.54,19.6,785690.21,16073865.0249,77899
1720569600000,2024-07-10,INJUSDT,20.88,21.44,20.36,20.56,791023.23,16450799.0533,67631
1720483200000,2024-07-09,INJUSDT,19.74,21.67,19.38,20.89,1017865.19,20729440.109,80917
1720396800000,2024-07-08,INJUSDT,18.63,20.5,17.72,19.75,1318673.35,25565197.3245,107217
1720310400000,2024-07-07,INJUSDT,20.16,20.18,18.53,18.62,736895.12,14228309.051,69344
1720224000000,2024-07-06,INJUSDT,18.94,20.43,18.57,20.17,763289.42,14897915.4096,54767
1720137600000,2024-07-05,INJUSDT,19.82,19.9,16.83,18.94,2833318.73,51749098.4844,175237
1720051200000,2024-07-04,INJUSDT,21.49,21.69,19.37,19.84,1275758.97,26007407.3879,101557
1719964800000,2024-07-03,INJUSDT,23.35,23.56,20.94,21.49,1041515.48,22780689.2941,80954
1719878400000,2024-07-02,INJUSDT,22.55,23.63,22.28,23.35,584258.34,13280108.4431,48026
1719792000000,2024-07-01,INJUSDT,23.53,24.1,22.52,22.55,689890.38,16121622.9065,59763
1719705600000,2024-06-30,INJUSDT,22.81,23.8,22.01,23.53,740222.18,16896301.3448,59161
1719619200000,2024-06-29,INJUSDT,23.07,23.76,22.69,22.83,450556.97,10421015.9132,35446
1719532800000,2024-06-28,INJUSDT,23.24,23.47,22.63,23.07,797499.04,18418233.5297,57527
1719446400000,2024-06-27,INJUSDT,23.05,24.27,22.7,23.24,1116109.13,26196950.6801,83245
1719360000000,2024-06-26,INJUSDT,23.43,23.81,22.48,23.04,1034761.21,23835895.0815,67476
1719273600000,2024-06-25,INJUSDT,22.73,23.5,22.39,23.43,1143189.05,26330682.8199,82338
1719187200000,2024-06-24,INJUSDT,20.26,22.8,19.46,22.71,2419712.23,50985012.5594,157078
1719100800000,2024-06-23,INJUSDT,21.0,21.51,20.0,20.26,730550.43,15178810.8138,52781
1719014400000,2024-06-22,INJUSDT,21.32,21.37,20.82,20.99,736744.63,15527805.4328,51640
1718928000000,2024-06-21,INJUSDT,20.77,21.87,20.11,21.33,1492872.18,31425808.4792,116776
1718841600000,2024-06-20,INJUSDT,21.22,23.25,20.62,20.77,2316203.63,50310185.5736,147692
1718755200000,2024-06-19,INJUSDT,20.46,21.57,20.04,21.22,1803471.52,37692363.1391,114765
1718668800000,2024-06-18,INJUSDT,21.63,21.76,18.6,20.47,3245269.52,65299222.8454,218506
1718582400000,2024-06-17,INJUSDT,25.06,25.34,21.0,21.63,2958556.49,66888993.784,201983
1718496000000,2024-06-16,INJUSDT,25.41,25.49,24.42,25.06,913041.23,22830778.915,72044
1718409600000,2024-06-15,INJUSDT,26.18,26.64,25.21,25.42,1217350.5,31619816.7078,101208
1718323200000,2024-06-14,INJUSDT,28.84,29.36,25.63,26.2,2531073.97,69651239.7947,222432
1718236800000,2024-06-13,INJUSDT,31.24,31.76,28.4,28.84,2727154.0,82097559.161,262912
1718150400000,2024-06-12,INJUSDT,27.19,32.99,26.84,31.24,4092696.24,124234542.6462,354546
1718064000000,2024-06-11,INJUSDT,29.33,29.83,25.51,27.19,3135279.44,87660147.6685,248943
1717977600000,2024-06-10,INJUSDT,27.81,29.71,26.55,29.33,2179390.44,61795139.6654,158487
1717891200000,2024-06-09,INJUSDT,26.79,29.31,26.62,27.81,1471576.6,41375470.2049,129731
1717804800000,2024-06-08,INJUSDT,27.91,30.84,26.68,26.79,3499003.97,101515641.4855,281216
1717718400000,2024-06-07,INJUSDT,28.07,30.99,25.78,27.9,4031644.64,116077528.8059,319326
1717632000000,2024-06-06,INJUSDT,26.8,28.65,26.02,28.06,1391765.16,38553856.8845,115727
1717545600000,2024-06-05,INJUSDT,25.25,27.13,25.19,26.79,973237.18,25649559.2236,74900
1717459200000,2024-06-04,INJUSDT,24.98,25.98,24.16,25.26,798228.23,19979034.4144,68932
1717372800000,2024-06-03,INJUSDT,24.23,25.97,23.89,24.97,700810.01,17706342.3081,56942
1717286400000,2024-06-02,INJUSDT,24.5,24.89,23.85,24.23,465262.81,11380094.1733,36555
1717200000000,2024-06-01,INJUSDT,24.42,24.71,24.11,24.51,336704.22,8210926.3768,29139
1717113600000,2024-05-31,INJUSDT,24.92,25.53,24.25,24.42,766739.93,19030562.2075,59124
1717027200000,2024-05-30,INJUSDT,26.43,27.2,24.91,24.91,1011107.14,26155168.3656,74373
1716940800000,2024-05-29,INJUSDT,26.25,27.07,25.96,26.42,1163206.5,30780327.6192,81882
1716854400000,2024-05-28,INJUSDT,25.75,26.34,24.66,26.24,847648.28,21541653.4304,75712
1716768000000,2024-05-27,INJUSDT,24.82,26.5,24.76,25.75,786196.51,20192762.6081,54996
1716681600000,2024-05-26,INJUSDT,25.34,25.62,24.45,24.83,438535.62,10972022.6856,32892
1716595200000,2024-05-25,INJUSDT,25.71,26.61,25.25,25.34,432171.96,11128517.1954,34224
1716508800000,2024-05-24,INJUSDT,26.14,26.33,24.58,25.71,763803.58,19230321.4367,55071
1716422400000,2024-05-23,INJUSDT,27.29,27.73,24.7,26.13,1359739.56,36028000.9243,109271
1716336000000,2024-05-22,INJUSDT,27.64,27.85,26.81,27.28,803540.74,21941202.079,59040
1716249600000,2024-05-21,INJUSDT,28.24,28.96,27.45,27.64,1087579.89,30626566.0948,86251
1716163200000,2024-05-20,INJUSDT,24.15,28.45,23.74,28.24,2021174.01,53841474.8546,164132
1716076800000,2024-05-19,INJUSDT,24.98,25.21,24.06,24.15,569598.4,14026199.7517,42267
1715990400000,2024-05-18,INJUSDT,24.72,25.3,24.53,24.98,556069.42,13854869.9989,45579
1715904000000,2024-05-17,INJUSDT,23.44,25.34,23.28,24.72,826123.73,20284896.9217,61111
1715817600000,2024-05-16,INJUSDT,23.6,24.14,22.73,23.44,810090.15,19042776.4961,57213
1715731200000,2024-05-15,INJUSDT,21.36,23.93,21.07,23.61,1230427.12,27659362.9474,86475
1715644800000,2024-05-14,INJUSDT,22.63,22.85,21.22,21.36,993530.01,21768660.7443,72007
1715558400000,2024-05-13,INJUSDT,23.5,23.65,22.04,22.63,1050062.91,24052383.9806,83420
1715472000000,2024-05-12,INJUSDT,23.72,24.14,23.26,23.5,400030.65,9503942.8387,37219
1715385600000,2024-05-11,INJUSDT,24.82,25.17,23.63,23.71,999561.07,24327991.0522,75267
1715299200000,2024-05-10,INJUSDT,23.99,27.02,23.84,24.83,2150499.77,54997314.9835,150856
1715212800000,2024-05-09,INJUSDT,23.29,24.3,22.79,23.99,771161.32,18115758.734,53980
1715126400000,2024-05-08,INJUSDT,24.71,25.11,22.89,23.29,1060592.23,25235210.717,79310
1715040000000,2024-05-07,INJUSDT,25.57,26.3,24.62,24.72,1148705.36,29141630.7484,93952
1714953600000,2024-05-06,INJUSDT,24.23,26.21,23.84,25.58,1508408.49,38226463.2535,115815
1714867200000,2024-05-05,INJUSDT,24.65,24.74,23.82,24.23,768292.83,18647237.4009,58832
1714780800000,2024-05-04,INJUSDT,24.97,25.26,24.42,24.65,578243.84,14325549.8768,48709
1714694400000,2024-05-03,INJUSDT,23.43,25.08,22.95,24.97,1156902.55,27773067.5153,79264
1714608000000,2024-05-02,INJUSDT,23.66,23.72,22.64,23.43,881351.2,20483248.384,63361
1714521600000,2024-05-01,INJUSDT,23.76,24.25,22.02,23.67,1480997.37,33968732.9326,106346
1714435200000,2024-04-30,INJUSDT,25.85,26.21,22.81,23.75,1213489.09,28913243.5198,89395
1714348800000,2024-04-29,INJUSDT,25.77,26.21,24.91,25.84,675380.6,17204210.6204,64240
1714262400000,2024-04-28,INJUSDT,25.94,26.79,25.64,25.78,400081.9,10529154.156,37566
1714176000000,2024-04-27,INJUSDT,25.56,26.31,24.68,25.94,554399.0,14147796.517,53318
1714089600000,2024-04-26,INJUSDT,26.51,26.76,25.37,25.56,598838.7,15598545.202,50703
1714003200000,2024-04-25,INJUSDT,26.46,27.1,25.56,26.51,698204.4,18371368.469,60637
1713916800000,2024-04-24,INJUSDT,28.02,29.37,26.14,26.46,1237676.6,34480089.462,94344
1713830400000,2024-04-23,INJUSDT,28.63,29.16,27.56,28.02,921037.2,26027187.288,74452
1713744000000,2024-04-22,INJUSDT,28.27,29.46,27.9,28.63,1048035.7,30015854.917,80217
1713657600000,2024-04-21,INJUSDT,29.7,29.84,27.76,28.27,1038513.9,29867945.766,77053
1713571200000,2024-04-20,INJUSDT,28.17,29.85,27.37,29.71,1319090.9,37478390.626,98705
1713484800000,2024-04-19,INJUSDT,27.63,28.82,24.98,28.17,1900589.8,52043080.21,149797
1713398400000,2024-04-18,INJUSDT,26.02,28.95,24.75,27.63,2145890.2,57596128.599,162416
1713312000000,2024-04-17,INJUSDT,25.02,28.23,24.22,26.02,2622671.4,68388077.376,198420
1713225600000,2024-04-16,INJUSDT,24.46,25.57,23.19,25.02,1697954.6,41424729.182,129715
1713139200000,2024-04-15,INJUSDT,26.02,27.48,23.34,24.45,2710099.0,68927418.594,191829
1713052800000,2024-04-14,INJUSDT,23.27,26.45,22.55,26.03,2969683.6,73122957.517,261616
1712966400000,2024-04-13,INJUSDT,26.73,27.24,18.12,23.27,4767513.8,112262357.0198,394023
1712880000000,2024-04-12,INJUSDT,31.96,32.46,22.77,26.73,3818708.1,104330899.0382,327303
1712793600000,2024-04-11,INJUSDT,33.26,33.46,31.55,31.95,764700.9,24842887.724,69226
1712707200000,2024-04-10,INJUSDT,33.13,33.83,31.52,33.26,1173419.7,38346268.566,105500
1712620800000,2024-04-09,INJUSDT,35.64,35.88,32.89,33.12,1185654.9,40641912.32,106271
1712534400000,2024-04-08,INJUSDT,35.24,36.46,34.49,35.63,1068776.0,38034569.196,97691
1712448000000,2024-04-07,INJUSDT,34.8,36.25,34.72,35.23,951638.0,33734023.787,82754
1712361600000,2024-04-06,INJUSDT,34.22,35.79,33.62,34.81,1133265.4,39490389.128,102124
1712275200000,2024-04-05,INJUSDT,32.79,34.85,30.51,34.24,1380934.1,45032363.581,123449
1712188800000,2024-04-04,INJUSDT,32.9,34.17,31.92,32.78,1067930.4,35361763.733,95139
1712102400000,2024-04-03,INJUSDT,32.56,34.77,31.53,32.9,1581669.1,53294047.989,155192
1712016000000,2024-04-02,INJUSDT,34.21,34.22,31.19,32.55,1890576.1,61209498.338,170303
1711929600000,2024-04-01,INJUSDT,36.79,37.25,33.0,34.21,1685530.1,58584796.451,162148
1711843200000,2024-03-31,INJUSDT,35.81,37.69,35.68,36.78,749769.1,27675052.19,72928
1711756800000,2024-03-30,INJUSDT,36.67,37.12,35.64,35.8,618779.4,22627906.11,54362
1711670400000,2024-03-29,INJUSDT,38.45,38.61,36.2,36.67,929250.4,34617012.158,92022
1711584000000,2024-03-28,INJUSDT,37.91,38.84,37.12,38.46,1169851.9,44443454.168,108916
1711497600000,2024-03-27,INJUSDT,39.03,39.64,37.01,37.92,1746286.7,67119839.863,173658
1711411200000,2024-03-26,INJUSDT,37.86,41.48,37.75,39.03,2227697.8,88548138.988,215001
1711324800000,2024-03-25,INJUSDT,36.53,38.41,35.92,37.86,1450334.3,54245852.127,134622
1711238400000,2024-03-24,INJUSDT,35.02,36.72,34.89,36.52,745484.8,26734839.198,74197
1711152000000,2024-03-23,INJUSDT,35.28,36.33,34.74,35.02,771309.3,27538516.58,75807
1711065600000,2024-03-22,INJUSDT,37.13,37.77,34.32,35.28,1682982.4,60747119.989,157633
1710979200000,2024-03-21,INJUSDT,39.13,39.62,36.79,37.13,1420996.5,54357695.52,150842
1710892800000,2024-03-20,INJUSDT,35.89,39.46,34.03,39.14,2251414.1,82829558.289,241069
1710806400000,2024-03-19,INJUSDT,38.4,39.08,34.1,35.9,2990574.8,108390933.04,319876
1710720000000,2024-03-18,INJUSDT,42.84,42.84,37.84,38.43,2355817.2,94611206.227,238655
1710633600000,2024-03-17,INJUSDT,40.72,43.53,39.17,42.85,2153970.7,90257907.377,232762
1710547200000,2024-03-16,INJUSDT,44.49,49.0,39.88,40.72,2973886.2,131445385.265,362566
1710460800000,2024-03-15,INJUSDT,47.91,48.53,40.15,44.48,3708895.5,162676407.615,466237
1710374400000,2024-03-14,INJUSDT,48.34,53.0,45.64,47.9,4529329.4,222715133.666,652861
1710288000000,2024-03-13,INJUSDT,51.86,52.92,47.57,48.35,2848882.5,141059259.7589,368422
1710201600000,2024-03-12,INJUSDT,42.59,52.17,41.3,51.85,6046225.951,286860430.510412,742795
1710115200000,2024-03-11,INJUSDT,40.12,44.0,37.81,42.59,2250726.3,92860848.065,253229
1710028800000,2024-03-10,INJUSDT,40.87,41.33,38.8,40.11,1267872.0,51062343.115,129378
1709942400000,2024-03-09,INJUSDT,41.44,42.81,40.44,40.87,1225196.3,50815049.295,130338
1709856000000,2024-03-08,INJUSDT,42.85,44.51,40.0,41.43,1780166.1,75223115.261,225021
1709769600000,2024-03-07,INJUSDT,38.87,44.93,38.83,42.85,3365968.4,143265431.598,364471
1709683200000,2024-03-06,INJUSDT,37.72,39.65,35.83,38.86,2097197.6,80132753.268,252961
