Unix,Date,Symbol,Open,High,Low,Close,Volume ROSE,Volume USDT,tradecount
1721692800000,2024-07-23,ROSEUSDT,0.0922,0.09447,0.08623,0.0884,47540707.9,4288900.68948,43812
1721606400000,2024-07-22,ROSEUSDT,0.09699,0.09809,0.09122,0.09223,45029341.4,4245450.114152,40125
1721433600000,2024-07-20,ROSEUSDT,0.09429,0.096,0.09186,0.09505,29615434.1,2780823.692965,23846
1721347200000,2024-07-19,ROSEUSDT,0.09197,0.09477,0.08901,0.09417,55587311.1,5138586.809402,41971
1721260800000,2024-07-18,ROSEUSDT,0.09036,0.093,0.08769,0.09191,56542269.8,5129774.051447,36353
1721174400000,2024-07-17,ROSEUSDT,0.09207,0.0953,0.08966,0.09034,48950060.9,4530684.334913,36734
1721088000000,2024-07-16,ROSEUSDT,0.09232,0.09421,0.0874,0.09204,88180262.7,8057194.992704,64031
1721001600000,2024-07-15,ROSEUSDT,0.0847,0.09282,0.08442,0.09232,59272085.4,5198709.242161,39693
1720915200000,2024-07-14,ROSEUSDT,0.08134,0.08501,0.081,0.08471,31867412.5,2634490.137765,21954
1720828800000,2024-07-13,ROSEUSDT,0.07863,0.08273,0.07847,0.08134,75494269.5,6072410.074514,31245
1720742400000,2024-07-12,ROSEUSDT,0.07791,0.07934,0.07619,0.0786,52096762.4,4063146.265436,27944
1720656000000,2024-07-11,ROSEUSDT,0.0814,0.08522,0.07704,0.07785,60580501.3,4931690.163596,46372
1720569600000,2024-07-10,ROSEUSDT,0.08082,0.08358,0.07948,0.08143,39195730.7,3210068.789773,30465
1720483200000,2024-07-09,ROSEUSDT,0.07893,0.08188,0.07843,0.08076,42797336.1,3449300.104598,32954
1720396800000,2024-07-08,ROSEUSDT,0.078,0.08252,0.07415,0.07894,71508182.1,5600470.669279,61127
1720310400000,2024-07-07,ROSEUSDT,0.08537,0.08546,0.07739,0.07797,45044999.7,3663143.591257,33481
1720224000000,2024-07-06,ROSEUSDT,0.0822,0.08688,0.08064,0.08537,61117180.3,5104482.311751,46435
1720137600000,2024-07-05,ROSEUSDT,0.08405,0.0893,0.0727,0.08223,132912459.0,10549152.686663,113198
