Unix,Date,Symbol,Open,High,Low,Close,Volume SUPER,Volume USDT,tradecount
1721692800000,2024-07-23,SUPERUSDT,0.6633,0.6915,0.6342,0.6852,4123693.0,2760662.8583,22694
1721606400000,2024-07-22,SUPERUSDT,0.7019,0.7183,0.6563,0.6633,3869545.0,2680369.7987,20071
1721433600000,2024-07-20,SUPERUSDT,0.669,0.7333,0.6606,0.7227,7554902.0,5276144.9428,41201
1721347200000,2024-07-19,SUPERUSDT,0.6292,0.6741,0.6075,0.6689,2796742.0,1794843.3981,17815
1721260800000,2024-07-18,SUPERUSDT,0.6566,0.67,0.6145,0.6291,2818282.0,1800845.9066,16281
1721174400000,2024-07-17,SUPERUSDT,0.6493,0.7048,0.6487,0.6565,6650666.0,4494747.1789,40068
1721088000000,2024-07-16,SUPERUSDT,0.6601,0.6703,0.6164,0.649,5676003.0,3633804.2306,36018
1721001600000,2024-07-15,SUPERUSDT,0.6442,0.6617,0.6181,0.6602,9219785.0,5893377.7674,50587
1720915200000,2024-07-14,SUPERUSDT,0.5649,0.6479,0.5618,0.6447,13122313.0,8042816.7697,77281
1720828800000,2024-07-13,SUPERUSDT,0.5562,0.575,0.5515,0.5648,2077872.0,1166260.1711,15857
1720742400000,2024-07-12,SUPERUSDT,0.5375,0.5637,0.5229,0.5559,1952561.0,1061239.5833,16277
1720656000000,2024-07-11,SUPERUSDT,0.5595,0.5722,0.534,0.5376,1824438.0,1009324.6302,13367
1720569600000,2024-07-10,SUPERUSDT,0.5474,0.5734,0.5384,0.56,1893297.0,1058854.2631,13818
1720483200000,2024-07-09,SUPERUSDT,0.5368,0.5505,0.527,0.5474,1939394.0,1045439.5181,13437
1720396800000,2024-07-08,SUPERUSDT,0.5157,0.5639,0.4928,0.5365,4206587.0,2245530.1777,26307
1720310400000,2024-07-07,SUPERUSDT,0.5639,0.5656,0.5119,0.5152,2475450.0,1331636.4183,15922
1720224000000,2024-07-06,SUPERUSDT,0.4997,0.5874,0.4972,0.564,6035574.0,3275912.3228,32155
1720137600000,2024-07-05,SUPERUSDT,0.5259,0.5268,0.4523,0.5002,9032911.0,4380486.0881,50916
1720051200000,2024-07-04,SUPERUSDT,0.6129,0.6204,0.5225,0.5259,4889479.0,2762693.7394,32864
1719964800000,2024-07-03,SUPERUSDT,0.6575,0.663,0.6082,0.6127,2434851.0,1536730.8222,15999
1719878400000,2024-07-02,SUPERUSDT,0.6571,0.6778,0.6487,0.658,1264592.0,834436.7078,10982
1719792000000,2024-07-01,SUPERUSDT,0.6739,0.6913,0.6556,0.6574,2585430.0,1739157.4026,18010
1719705600000,2024-06-30,SUPERUSDT,0.6244,0.6802,0.6117,0.6732,2758786.0,1779413.9184,15243
1719619200000,2024-06-29,SUPERUSDT,0.6477,0.6629,0.621,0.6246,1497089.0,961187.733,10376
1719532800000,2024-06-28,SUPERUSDT,0.6659,0.6873,0.6458,0.6475,2255417.0,1508989.3427,16178
1719446400000,2024-06-27,SUPERUSDT,0.6573,0.682,0.6405,0.6668,2457908.0,1619242.7906,16916
1719360000000,2024-06-26,SUPERUSDT,0.68,0.6923,0.648,0.6577,2121250.0,1418967.0561,13212
1719273600000,2024-06-25,SUPERUSDT,0.6669,0.6924,0.6599,0.6799,3252154.0,2194492.9686,21575
1719187200000,2024-06-24,SUPERUSDT,0.6673,0.6795,0.601,0.6672,7591590.0,4889249.4991,40932
1719100800000,2024-06-23,SUPERUSDT,0.6857,0.7092,0.6574,0.667,2361645.0,1612812.3085,15726
1719014400000,2024-06-22,SUPERUSDT,0.6887,0.6934,0.6696,0.6867,1563395.0,1064642.2413,12666
1718928000000,2024-06-21,SUPERUSDT,0.7179,0.7289,0.6769,0.688,3807257.0,2675850.5991,26160
1718841600000,2024-06-20,SUPERUSDT,0.7063,0.7509,0.6999,0.717,3676450.0,2652614.5362,26176
1718755200000,2024-06-19,SUPERUSDT,0.6946,0.7158,0.6792,0.7068,3926664.0,2742620.9769,27332
1718668800000,2024-06-18,SUPERUSDT,0.7392,0.7422,0.635,0.6957,6304691.0,4282632.4527,46375
1718582400000,2024-06-17,SUPERUSDT,0.8029,0.8088,0.7189,0.739,3033058.0,2300116.4059,25346
1718496000000,2024-06-16,SUPERUSDT,0.7756,0.8163,0.7645,0.8029,1703337.0,1348493.9222,14791
1718409600000,2024-06-15,SUPERUSDT,0.7858,0.7996,0.767,0.7754,1453379.0,1140669.4899,14174
1718323200000,2024-06-14,SUPERUSDT,0.8075,0.841,0.7562,0.7858,3164868.0,2519102.8678,25054
1718236800000,2024-06-13,SUPERUSDT,0.861,0.8691,0.7986,0.8066,2674257.0,2216943.7281,23888
1718150400000,2024-06-12,SUPERUSDT,0.8437,0.9062,0.8216,0.8616,3359622.0,2920552.292,28574
1718064000000,2024-06-11,SUPERUSDT,0.8867,0.8945,0.8105,0.8437,3506322.0,2985222.7931,26458
1717977600000,2024-06-10,SUPERUSDT,0.9211,0.926,0.8832,0.8859,2300701.0,2080114.8515,21074
1717891200000,2024-06-09,SUPERUSDT,0.9183,0.9288,0.9024,0.9203,1238445.0,1135391.6936,14851
1717804800000,2024-06-08,SUPERUSDT,0.954,0.9642,0.9039,0.9186,2380312.0,2222964.0909,26873
1717718400000,2024-06-07,SUPERUSDT,1.0558,1.0878,0.822,0.9538,5944908.0,5700533.4879,70961
1717632000000,2024-06-06,SUPERUSDT,1.0857,1.0904,1.0387,1.0558,2464962.0,2640320.3021,38943
1717545600000,2024-06-05,SUPERUSDT,1.1188,1.1414,1.0763,1.0857,3757744.0,4140029.4661,41171
1717459200000,2024-06-04,SUPERUSDT,1.0464,1.1217,1.0097,1.1183,5018760.0,5308458.0636,46502
1717372800000,2024-06-03,SUPERUSDT,0.985,1.0659,0.9738,1.0471,6559080.0,6761771.2472,61229
1717286400000,2024-06-02,SUPERUSDT,0.9496,0.9924,0.9488,0.9858,3050670.0,2965171.5312,37008
1717200000000,2024-06-01,SUPERUSDT,0.9639,0.9655,0.9455,0.9497,1315433.0,1256761.7437,15141
1717113600000,2024-05-31,SUPERUSDT,0.9639,0.9848,0.9483,0.9651,1787707.0,1727367.2101,26155
1717027200000,2024-05-30,SUPERUSDT,0.9733,1.0062,0.9308,0.9645,3041485.0,2961144.2282,34305
1716940800000,2024-05-29,SUPERUSDT,1.0012,1.0124,0.9655,0.9735,2650240.0,2622289.6028,34060
1716854400000,2024-05-28,SUPERUSDT,1.0311,1.0344,0.988,1.0012,2911506.0,2929270.8415,36110
1716768000000,2024-05-27,SUPERUSDT,1.0095,1.058,1.0077,1.0307,2425944.0,2514312.5588,30904
1716681600000,2024-05-26,SUPERUSDT,1.0193,1.0279,0.9852,1.0096,2013715.0,2025040.1806,22230
1716595200000,2024-05-25,SUPERUSDT,1.0253,1.0559,1.0129,1.0204,1756902.0,1813397.6429,19425
1716508800000,2024-05-24,SUPERUSDT,1.0315,1.0416,0.9901,1.026,3470107.0,3530350.0706,34938
1716422400000,2024-05-23,SUPERUSDT,1.1067,1.1217,0.981,1.033,5152717.0,5407890.7096,55442
1716336000000,2024-05-22,SUPERUSDT,1.1322,1.1432,1.094,1.107,1863157.0,2085690.7339,25405
1716249600000,2024-05-21,SUPERUSDT,1.1428,1.1519,1.0941,1.1315,3530083.0,3964157.0726,44199
1716163200000,2024-05-20,SUPERUSDT,1.0247,1.1498,1.0078,1.1409,4245124.0,4598371.2455,59688
1716076800000,2024-05-19,SUPERUSDT,1.0693,1.0887,1.016,1.0256,2036866.0,2139333.013,24602
1715990400000,2024-05-18,SUPERUSDT,1.0566,1.0892,1.0455,1.0696,2888130.0,3079718.0759,31757
1715904000000,2024-05-17,SUPERUSDT,0.9841,1.0882,0.9703,1.0565,5218929.0,5405317.154,50936
1715817600000,2024-05-16,SUPERUSDT,0.9941,1.0051,0.9312,0.9841,2975290.0,2889088.2165,29272
1715731200000,2024-05-15,SUPERUSDT,0.8885,1.0195,0.8798,0.993,4490528.0,4244396.6248,42550
1715644800000,2024-05-14,SUPERUSDT,0.9438,0.9438,0.8736,0.8884,5709530.0,5175435.2749,50819
1715558400000,2024-05-13,SUPERUSDT,0.9669,1.035,0.9227,0.9439,6123870.0,5989012.6787,52023
1715472000000,2024-05-12,SUPERUSDT,1.0169,1.031,0.963,0.967,3249610.0,3249955.3118,28746
1715385600000,2024-05-11,SUPERUSDT,1.0099,1.0649,1.0022,1.0173,6368859.0,6565378.1566,62590
1715299200000,2024-05-10,SUPERUSDT,0.9802,1.1119,0.9699,1.0094,9328901.0,9653603.9364,102806
1715212800000,2024-05-09,SUPERUSDT,0.9496,0.9896,0.9298,0.9802,3500999.0,3344963.3741,35826
1715126400000,2024-05-08,SUPERUSDT,0.9453,0.9966,0.9317,0.9513,3208358.0,3077088.9485,35945
1715040000000,2024-05-07,SUPERUSDT,0.9766,0.9919,0.9439,0.9462,2420137.0,2343056.1668,26550
1714953600000,2024-05-06,SUPERUSDT,0.9808,1.0494,0.9692,0.9765,4045998.0,4055988.3874,44655
1714867200000,2024-05-05,SUPERUSDT,0.951,0.9973,0.93,0.9812,3774506.0,3664422.6907,36249
1714780800000,2024-05-04,SUPERUSDT,0.9395,0.9675,0.9299,0.9509,2173402.0,2059970.9073,21339
1714694400000,2024-05-03,SUPERUSDT,0.9118,0.9541,0.8963,0.9395,3023964.0,2799081.8445,23938
1714608000000,2024-05-02,SUPERUSDT,0.8915,0.9234,0.8562,0.9118,2733219.0,2435857.213,29306
1714521600000,2024-05-01,SUPERUSDT,0.8817,0.9175,0.8165,0.8917,3828925.0,3310731.3553,48298
1714435200000,2024-04-30,SUPERUSDT,0.9257,0.9409,0.8341,0.8818,4247912.0,3697822.6405,39920
1714348800000,2024-04-29,SUPERUSDT,0.9241,0.9421,0.8923,0.9252,2365672.0,2157238.0555,19327
1714262400000,2024-04-28,SUPERUSDT,0.9345,0.9652,0.9182,0.9242,2678895.0,2526152.1941,19850
1714176000000,2024-04-27,SUPERUSDT,0.9317,0.9529,0.8948,0.9349,2986984.0,2750998.83,35301
1714089600000,2024-04-26,SUPERUSDT,0.9638,0.97,0.9189,0.9314,3409161.0,3219573.6376,32804
1714003200000,2024-04-25,SUPERUSDT,0.9895,0.9962,0.9477,0.9639,2853616.0,2768184.6549,24448
1713916800000,2024-04-24,SUPERUSDT,1.0651,1.0777,0.9767,0.9892,5289104.0,5448872.3763,51135
1713830400000,2024-04-23,SUPERUSDT,1.0695,1.1034,1.042,1.0657,2436983.0,2610200.604,27270
1713744000000,2024-04-22,SUPERUSDT,1.0741,1.149,1.049,1.0697,4113031.0,4456970.6468,38345
1713657600000,2024-04-21,SUPERUSDT,1.1035,1.138,1.048,1.074,3737595.0,4077058.0366,37956
1713571200000,2024-04-20,SUPERUSDT,1.0123,1.1186,0.9865,1.1036,4880095.0,5121686.1811,48803
1713484800000,2024-04-19,SUPERUSDT,0.9776,1.0623,0.8926,1.0123,7711676.0,7735355.881,80478
1713398400000,2024-04-18,SUPERUSDT,0.9138,1.0037,0.8926,0.9772,4885129.0,4667181.7011,51288
1713312000000,2024-04-17,SUPERUSDT,0.977,1.006,0.8902,0.9154,6756461.0,6392667.3069,64371
1713225600000,2024-04-16,SUPERUSDT,0.9628,0.9996,0.8457,0.977,9931620.0,9219623.0477,101604
1713139200000,2024-04-15,SUPERUSDT,1.0359,1.1739,0.9288,0.9643,15376998.0,16020303.216,228737
1713052800000,2024-04-14,SUPERUSDT,0.8924,1.0517,0.8253,1.036,13700420.0,12502373.3675,177760
1712966400000,2024-04-13,SUPERUSDT,0.93,0.9542,0.7,0.8937,13955538.0,11884919.3292,192344
1712880000000,2024-04-12,SUPERUSDT,1.0686,1.1014,0.8017,0.9307,13197741.0,12430662.2388,138735
1712793600000,2024-04-11,SUPERUSDT,1.1026,1.1117,1.0553,1.0686,4350325.0,4714798.4981,40280
1712707200000,2024-04-10,SUPERUSDT,1.1525,1.1585,1.06,1.1029,4857912.0,5388240.1238,55621
1712620800000,2024-04-09,SUPERUSDT,1.2484,1.2505,1.14,1.1527,3519079.0,4189138.0398,42634
1712534400000,2024-04-08,SUPERUSDT,1.1719,1.2715,1.1443,1.2495,3608380.0,4423920.9878,41277
1712448000000,2024-04-07,SUPERUSDT,1.1595,1.1896,1.1466,1.1721,2300290.0,2680215.67,19565
1712361600000,2024-04-06,SUPERUSDT,1.1373,1.1736,1.1273,1.1592,1823956.0,2091012.4432,16151
1712275200000,2024-04-05,SUPERUSDT,1.1794,1.1992,1.0968,1.1367,3828546.0,4381742.6284,41471
1712188800000,2024-04-04,SUPERUSDT,1.1678,1.2139,1.1377,1.1812,3345014.0,3937717.845,58359
1712102400000,2024-04-03,SUPERUSDT,1.1788,1.2465,1.1346,1.1686,3505103.0,4180451.933,30635
1712016000000,2024-04-02,SUPERUSDT,1.2735,1.2771,1.1487,1.1786,4630446.0,5550236.9544,40025
1711929600000,2024-04-01,SUPERUSDT,1.3431,1.375,1.2501,1.2735,5416982.0,7094849.7106,49925
1711843200000,2024-03-31,SUPERUSDT,1.312,1.3479,1.2916,1.344,2816125.0,3717783.5449,24072
